text,label,lang
colour ki garnti hy,neutral,roman_ur
dog tiger kab sy ho gay,negative,roman_ur
We had the Smashed Avocado app and the Old Bay Robata for starters....both very yummy. It was good.,positive,en
سڑک پر ٹریفک جام ہے۔,negative,ur
یہاں آبادی کے کنٹرول کے لیے بہترین سہولیات ہیں۔,positive,ur
يااااااجبار السموات والأرض انزل فرجك على أهل غزة,neutral,ar
اساتذہ نے طالب علموں کی اچھی رہنمائی کی ہے۔,positive,ur
شہر میں آبادی کے تناسب سے سہولیات ناکافی ہیں۔,negative,ur
آبادی کے اعدادوشمار کو درست رکھنا بہت ضروری ہے۔,positive,ur
جولة تستحق المشاهدة ابناء معان على دوار الداخلية ,neutral,ar
دنیا کی کل آبادی میں کتنے فیصد کا اضافہ ہوا ہے؟,neutral,ur
یہ اسکول کی سہولیات بہت معیاری ہیں۔,positive,ur
لما تخلص الحرب وتنتصروا والله يطبب جراحكم ويطبطب على قلوبكم ويهدي نفوسكم ويآمن روعكم تشكروا الله إنه اختصكم بهذا الفضل العظيم وحرم منه حكام خونة وأمة نائمة استمرأت الذل والهوان نفسها قبل تستمرىء قتلكم، نقسم لكم نحن الأموات أهل غزة,negative,ar
میڈیکل رپورٹس کی نقول حاصل کرنے میں شدید دشواری پیش آ رہی ہے۔,negative,ur
After I downed mine pretty quickly he came by to tell us our Pollo asado order would be ready in 20 minutes.,neutral,en
شادی کی تقریب کی تاریخ میں تبدیلی کے بارے میں پوچھنا تھا۔,neutral,ur
lekin saal bad inho ny yai tamgha sarkari policies par ahtijaj karti hue wapas kar diya,negative,roman_ur
I wouldn't rate myself an expert but I can tell when something is not right.,negative,en
مجھے ذیابیطس کا مرض ہے اور میں اس کے علاج کے بارے میں جاننا چاہتا ہوں۔,neutral,ur
یونیورسٹی میں داخلے کی آخری تاریخ کب ہے؟,neutral,ur
واشنطن تمنع دبلوماسييها استخدام كلمات حقن الدماء وقف التصعيد والعنف غزة صحيفةالرأي الاردن,negative,ar
x cheif justice iftikhar chodhry ka nae siyasi jamat bana ney k lye home work shuru,negative,roman_ur
آبادی کے کنٹرول کے بارے میں عوامی شعور کی کمی ہے۔,negative,ur
ريت,positive,ar
کیا آپ مجھے آج کے موسم کا حال بتا سکتے ہیں؟,neutral,ur
"The decor is very ""coffee shop"" like, it's clean and light,",positive,en
"So I've been hearing their radio spots on 92.3 The Fan for the longest time... with their slogan of ""so fresh, they don't even own a microwave.""",neutral,en
حمايه لهم,negative,ar
میں فوری طبی امداد کا طلبگار ہوں۔,neutral,ur
kon is ky doum per paon rakh ker khara ho giyah malala drama haqiqat hai,negative,roman_ur
الاردن أرض اللواطهوشعب اللواطه اسمع هذه الحادثة شخص عراقي يقول أيام الحصار رحت اشتغل بالاردنجاني رجل دين قال اشتغل خادم للجامع بعده فترة قال العصى واركض وراي وضربني بالعصا وبعديننيچني يعنييلوطهوسوواها لاط الشيخبالجامعحيلة شرعيةحتى شيوخكم تلوط,neutral,ar
اس دوا کے مضر اثرات کے بارے میں بتاؤ۔,neutral,ur
اكـسل اكسـس بوربوينت برزنتيشن بربوزال خطة بحث استبيانات مناقشة نتائج مشروع تخرج لغة عربية محاسبة مالية محاسبة حكومية محاسبة متوسطة محاسبة تكاليف محاسبة ادارية تمويل شركات ادارة استثمار موارد بشرية برمجيات حاسب آلي برمجة بايثون,neutral,ar
"I didn't go inside so I can't comment on the atmosphere in there, but, like I said, the patio is lovely.",positive,en
ye hmary bhai q,neutral,roman_ur
Expect to enjoy your time there with a group of people.,positive,en
janwar hamesa bahar hi ghumte rhte hai,neutral,roman_ur
That's how much Texas changed my poor little naive bbq brain.,neutral,en
کیا آپ مجھے تعلیمی نظام کے بارے میں بتا سکتے ہیں؟,neutral,ur
إدخالالوقودلغزة إمدادغزةبالماء غزةتباد احنا غبنا النشر انتوا تغيبوا تنسوا تتطالبوا بوقود للمستشفيات لانه هيصير كارثة بمعنى الكلمة وصل الوقود للمستشفيات,negative,ar
cricket mein estimaal hony wali bat ki lambayi ench hoti hein,neutral,roman_ur
الله يجزاك الخير,positive,ar
حمدلله على سلامتها وسلامة البيبي يارب عليها صحتها وعافيتها واحفظ صغيرها وامده بالصحة والسلامة,positive,ar
یہ سکول کا انفراسٹرکچر بہت خراب ہے۔,negative,ur
That was the icing on the cake!,positive,en
اس مسئلے کا فوری حل تلاش کیا جائے۔,neutral,ur
tehqeeqat k liye committee qaim,neutral,roman_ur
کیا آپ مجھے متعلقہ دستاویزات کی فہرست بتا سکتے ہیں؟,neutral,ur
یہ جگہ بہت پرسکون اور خوبصورت ہے۔,positive,ur
بفوتش عتويتر لإنه فيه خنزرة كتير إعدام الرهائن جريمة,negative,ar
بچوں کے لیے کھیل کے میدان کی سہولت موجود نہیں ہے۔,negative,ur
مجھے داخلے کی فیس کے بارے میں جاننا ہے۔,neutral,ur
رقعة يتجاوز طولها واحدا اربعين كيلومترا، ولا يتجاوز عرضها اثني عشر كيلومترا، لكنها تستلقي بإباء على ضفاف المتوسط مشكلة أبدية لاسرائيل أحمد فال الدين,neutral,ar
Transferred in from Ohio where we got excellent service.,positive,en
We each spent $20 bucks including tip.,neutral,en
Topically when I bring our Amstaff people leave because they think he is vicious.,negative,en
یہ سفر بہت تھکا دینے والا تھا، لیکن بہت پر لطف بھی تھا۔,positive,ur
I hired them because of the rating on yelp.,neutral,en
نقف بالتأكيد الشرعية الدستورية التي يمثلها جلالة الملك عبدالله الثاني المعظم وولي عهده الأمين لمواجهة المؤامرات التي تحاك الاردن وسنبقى صفاً واحداً القيادة الهاشمية الحكيمة ،ونسأل الله يحفظ الأردن وقيادته وشعبه وأجهزته الأمنية وجيشه المصطفوي مكروه,positive,ar
میں اس فلم کو دوبارہ دیکھنا چاہتا ہوں۔,positive,ur
"The first thing our waitress brought us was a complimentary bowl of olives, which seemed to be seasoned with oil and some spices.",positive,en
اسپتال میں ادویات کی دستیابی کو یقینی بنایا جائے۔,positive,ur
(Too much raw onion isn't fun for anyone even if you aren't locking lips later on tonight.,negative,en
nahh baba saaas saans hi rahyge qatil,negative,roman_ur
ايش سمعتك عيد,positive,ar
baqi ghar ghar nahi hota tab he bchoo ky niwalay gin ra hai,neutral,roman_ur
I came in with a friend around 9pm.,neutral,en
*&^# Dairy queen and others alike!,neutral,en
Which most humans sound like they are spitting a rap lyrics on the microphone.,neutral,en
